FROM,TO,28/12/16(23.15PM),12/28/2016(23.45PM),12/29/2016(00:00),12/30/2016(00:00),12/30/2016(21:00),1/1/2017(01:45)
INR,ECS,366.4615,366.4615,366.4883,367.9338,367.9501,367.9501
INR,CLP,9.8478,9.848,9.8486,9.8075,9.8506,9.8506
INR,RSD,1.7197,1.7197,1.7198,1.7266,1.7188,1.7188
INR,MKD,0.8648,0.864,0.8634,0.8599,0.8561,0.8561
INR,KWD,0.0045,0.0045,0.0045,0.0045,0.0045,0.0045
INR,SRD,0.1077,0.1077,0.1077,0.1082,0.1082,0.1082
INR,LRD,1.3339,1.3339,1.334,1.3393,1.3393,1.3393
INR,GMD,0.6183,0.6183,0.6183,0.6162,0.6204,0.6204
INR,SBD,0.1161,0.1161,0.1161,0.1165,0.1169,0.1169
INR,ARS,0.2288,0.2298,0.2299,0.234,0.2333,0.2333
INR,SOS,7.725,7.725,7.7257,7.7855,7.7858,7.7858
INR,TRY,0.052,0.052,0.0519,0.0518,0.0519,0.0519
INR,NGN,4.4598,4.4598,4.4602,4.4778,4.4772,4.4772
INR,GHS,0.0622,0.0622,0.0622,0.0634,0.0629,0.0629
INR,MDL,0.2906,0.2906,0.2906,0.2916,0.2922,0.2922
INR,KYD,0.012,0.012,0.012,0.0121,0.0121,0.0121
INR,HRK,0.1061,0.106,0.106,0.1056,0.1049,0.1049
INR,MVR,0.2218,0.2218,0.2218,0.223,0.2227,0.2227
INR,SEK,0.135,0.1349,0.1348,0.1343,0.1337,0.1337
INR,UZS,47.1269,47.1269,47.1311,47.3163,47.392,47.392
INR,KZT,4.8739,4.8739,4.8744,4.9018,4.9092,4.9092
INR,ZMW,0.1437,0.1437,0.1437,0.1451,0.1457,0.1457
INR,BSD,0.0147,0.0147,0.0147,0.0147,0.0147,0.0147
INR,SAR,0.055,0.055,0.055,0.0552,0.0552,0.0552
INR,NZD,0.0207,0.0207,0.0207,0.0207,0.0207,0.0207
INR,BAM,0.0277,0.0276,0.0276,0.0275,0.0274,0.0274
INR,BRL,0.0482,0.0481,0.0481,0.0478,0.0479,0.0479
